text,sentiment
"We just saw this film previewed before release at the Norfolk (VA) Film Forum, and there was general agreement on two matters: There were excellent performances in a first rate drama by the two leads and by others: and secondly, the marketing for this movie will only bring disaster. We saw a lurid poster with chains and suggestive commentary implying some sort of wacko sexual relationship between Samuel Jackson and Cristina Ricci, whereas the movie has some real depth and some thoughtful ideas. What's sad is that people looking for near porn will be drawn in to see the film and will be disappointed because it will be too ""heavy"" for them, while the people who would really enjoy it wouldn't be caught dead walking into the theater showing it. Too bad. A good film wasted.",pos
The Animatrix: A Detective Story is very well planned and has a great storyline to go with it. Carrie-Anne Moss plays Trinity in this animated cartoon. I really like the 'Private Detective' ideas created by the Director.,pos
"I was Stan in the movie ""Dreams Come True"". Stan was the friend that worked at the factory with the main character and ended getting his arm smashed in the machinery and got carried out screaming (where was the ambulance?) The acting in this movie was for the most part pretty poor with mostly local actors from the Fox Valley, Wisconsin. I saw the movie on the big screen. It played 2 nights in 3 theaters and was something special to see yourself on the big screen. I may be bias, but overall, I enjoyed it. Also the soundtrack was the band Spooner, who later became Garbage. My brother, Steve Charlton was also in the movie. He played Swenson the man who comes to the door on crutches to talk with the police.",neg
"too bad they showed palm trees that could not be more inaccurate for Connecticut in October ... this was filmed in New Zealand ...This Martha Moxley case had been 'cold' for 20-25 years ... her family worked hard to keep it alive and when Mark Fuhrman decided he did not want to be remembered only for his involvement in the Nicole Simpson case .... which could have been deleterious to his reputation (if it already hadn't)... Anyway, he followed along as the police tried to get enough information to write a book. ... with the use of flashbacks we can see the relationships Martha formed .... Unattended boys coming of age without a mother around to help and a dad who was always looped ...Plus the fact that they portray the real Martha as if she were a movie star... she was a cute sweet girl next door type. Other than that, the other characters were really great, especially Jon Foster and Toby Moore, who played as Michael Skakel and Tommy Skakel respectively. They were good as well, the costumers had to keep it all in the 70s look and back up to the 90s ....It kept my interest even when I caught on about the Skakel guy ....",pos
"The story of pre-unified China must be a popular one. Jet Li's Hero made the assassination of the King popular.This is another story made a few years earlier. It stars the incredibly beautiful Li Gon (Memoirs of a Geisha, 2046, Miami Vice) as the King's lover, who was sent to recruit an assassin so that the King could defeat him. She recruits Fengyi Zhang, but falls in love with him.No matter, he is not able to complete the mission anyway, as the King knew about him beforehand. I suspected he also knew, but went anyway.It was a beautiful story with massive military operations, and, of course, another chance to see Li Gong.",pos
"This is primarily about love in WWII, yet we must remember that it's also a biopic for Dylan Thomas and those around him at this particular stage in his life.The movie's timing is just great. It really captures what I think would have been the spirit during those times; smiling and hoping you're not going to get bombed. While it may prove boring to some, the movie does have a particularly dangerous edge to it.At one point, my heart was racing towards the end as the movie hits its climax. It really does feature some poignant moments that are handled with skill by the four main actors. Cillian Murphy is on fine form here, as is Matthew Rhys. Both are polar opposites and it makes for an interesting watch. The relationship formed between Sienna Miller and Keira Knightley's characters is wonderful and we have the acting to thank (and watch out for a cameo by Suggs of 'Madness'). Despite all of this, it's a rather slow movie. Coupled with the fact it's just shy of two hours, it's quite a slog to get to the conclusion.Overall, it's a solid non-fiction war movie with many wonderfully crafted moments that were no doubt helped by the splendid number of well-known British names behind the scenes. But it really does drone on for too much at times. Still, a worthwhile watch. 7/10",pos
"And now for another point of view: I didn't like it. I didn't finish it in fact. I know that ""Unforgiven"" is ranked by some as one of the greatest Westerns ever made. I know that it stars and was directed by Clint Eastwood, one of the icons of American cinema. I know that it won a bunch of Oscars. Still, I didn't like it. I don't like Westerns, and that's clearly a matter of taste, but I also don't admire Eastwood's acting. He is not and never has been a leading man. He is no Burt Lancaster, no Paul Newman, no John Wayne. In this film alone he is dwarfed by Richard Harris and Gene Hackman; they are both actors. No, Eastwood is a tall guy with a reedy voice who usually plays tough guys. Here he plays a retired tough guy. When I see him on screen, I see a man laboring at his acting. Then there's the anti-Western Western plot. It is too obviously intended to inject contemporary values -- a respect for the role of women, blacks, native Americans, and single parents; a disrespect for violence and drinking; the wholesomeness that comes with marriage, including interracial marriage, and small adorable children -- into a century in which those values weren't necessarily accepted, at least in these ways. By promoting those values, the movie comes across as mannered, if not preachy. Then there are the hoary movie stereotypes -- prostitutes with hearts of gold, the kid who can't shoot straight, the city slicker new to the wild West, the sage brush shimmering on a summer afternoon with a musical accompaniment in major chords. Finally there is the pacing of Eastwood's direction. I gave up after an hour. Eastwood was still riding north, chatting with Morgan Freeman and the kid who couldn't shoot straight, sixty minutes after the plot driven by the slashing of a prostitute was set in motion. It was way too slow. Somebody had to find these elements uncompelling. I am afraid it was me.",neg
"Yes,the movie is not a piece of art but the first time I watched it I was 10 years old,my parents were out and I stayed home with my two brothers.It was May 1970(I know that because I found a note about the cycle of horror movies that one network had).It's one of the most vivid memories I have with the guys.We ended all in one bed and covered up to the head! Our very first horror movie! We kept talking about it for years and laughing about the moment.Those were horror movies.Nowadays horror movies are always the same.Or was it better when we were kids enjoying without analyzing the plot and the cast and the dialogs? Most sure it was that.But for me this is a great movie!",neg
"Attention, possible spoilersThis film is so lousy that it actually becomes funny. The director has put in all the clichés that have ever plagued B-series movies. The stupid bimbo (nice rack) getting caught again and again by the bad guys, chief villain smirky and revealing his plots before they happen so they can be ruined and who, of course, bullied/killed the hero's father in an unclear past, a side-kick in the person of a policeman - small, bald and whose only preparation for the last battle (another cliché) is returning his baseball-cap rim-backwards etc. The film's end really tops it. After the chief villain dies when the hero Paralised Stoneface Jack or whatever throws him from the roof of a building ten stories high, they walk out of the building. Which, from the exteriors, looks three stories high only and very much like your regular city hall. When they exit the building, the side-kick can't walk, being that his right leg appears to be wounded. How, nobody can tell: ten minutes earlier he fell down shot in his shoulder and his feet were fine. There is no further explanation for the inquisitive mind of the viewer who would be curious to know such trivial things as ""Where is the villain's body which should lay near the building?"" and ""Why is there no police or even curious folks gathered round the said body?"". I could go on forever with the list. Why does another one of the bad guys claim to have invented martial arts when he gets his ass kicked in no time? Why do bad guys in general make silly movements when attacking? Why does the hero look so faggy? Is there anyone really thinking ""yes, these characters and this plot makes this a film to remember""? And the actors suck. Our hero and saviour of the day wears the same expression on his face. The whole film. That disgusted-trying to be cocky smirk must be some copyrighted feat of him.Also, thinking that until now 12% of the people having rated this film gave it a 10 makes me full of fear inside. They might have been serious and then we're doomed.",neg
"What we have here the standard Disney direct to DVD sequel, where I would expect cots are cut in all areas resulting in an okay animated movie that falls well short of the original. That is not to say that this is a terrible movie it is just that it is a very mediocre movie full of the preachy messages intended to show children the virtues of friendship and being nice to one another and unless done subtly (which it is not here) can quickly become grating for adults. The film has a very thin plot line with Kronk trying to win the approval of his father, and ending up finding the true meaning of wealth and success. This has it's comedy moments but is really nor enough to carry a full length film.",neg
"A group of people goes deep into the jungle for various reasons, and finally find a lost city (where apparently King Solomon's Diamonds are) and a race of super-gorilla's... Now, you know you're in trouble when you put fine actors like Linney and Curry in one movie that stars... a talking gorilla, and that is just the beginning. Okay, what else...?For an action/adventure movie the film is... well, lacking just that. The first hour (!) of the movie they aren't even in the jungle, just trying to get there, with subplot after subplot (something about a local military regime, whatever), and when they finally do... it's just no fun anymore.The effects of the movie are only so-and-so (and really bad compared to the earlier Jurassic Park movie).Now, the ending... The father not caring for the death of his son, but just interested in the diamonds? Uh-huh... only in the movies folks, only in the movies.A complete waste of talent, this Chricton (Jurassic Park, Twister, ER) adaptation. 2/10.",neg
"There were but two reasons for me to see this film. First of all Stellan Skarsgard and Marisa Tomei were in it (who are both good actors) and I had nothing better to do. While seeing the film though, I immediately thought of something better to do: SLEEP! This film is a complete waste of time. It is a standard ex-cop flick. The ex-copper is the best there ever was, but he was fired. He keeps doing stuff on his own to the dislike of his former buddies and he saves the day. All BIG surprises (NOT!!!). Go to sleep, or if you have insomnia, try this one.4 out of 10",neg
"I enjoyed this movie extremely. It was the last great Mario Van Peebles movie I know of. It had a hip-hop old west flavor to it. Big Daddy Kane and Tone Loc had major parts. It shouldn't have won any Oscars, but it was enjoyable all the same.",pos
"Last year was the 200th anniversary of Charles Darwin's birth, and the 150th anniversary of the publication of ""The Origin of Species"", so it's fitting that Jon Amiel's ""Creation"" got released. The movie focuses on the period of Darwin's (Paul Bettany) life while he was writing his famous work, and the mild strain that it put on his family life.I guess that the movie overplayed Darwin's tension with his religious wife Emma (Jennifer Connelly), and his guilt over his deceased daughter Annie, but I still like the thought of Darwin's theory working like a karate chop on religious dogma. As it was, the US was one of the last countries in which ""Creation"" found a distributor, due to the creationism-evolution debate (yes, it's still going on).All in all, this isn't a masterpiece, but I recommend it the same way that I recommend ""Inherit the Wind"". I hope that one day, the creationism-evolution debate won't be an issue. If this film helps put the debate to rest, then more power to everyone in the movie! Also starring Martha West, Jeremy Northam, Toby Jones and Benedict Cumberbatch.",pos
"I've expected a comedy about the NVA, but this is a parody. It shows the national army of Eastern Germany in a light that is not appropriate, and definitely not true.One can make a comedy about everything, as long as the underlying facts are not changed. Even a comedy about the German KZ is possible, as Roberto Benigni with ""LIFE IS BEAUTIFUL"" has shown.The movie NVA would be an ""OK"" comedy, because the jokes in it are overall OK. Nothing special - not hilarious, but enough to live with it.The point is, that the movie makes a farce and a parody about the NVA. A death machine that was ready to attack WESTERN EUROPE along with it's friend the RED ARMY. An institution that used everything to get the utmost from it's soldiers. An army that marched into the CSPR in 1968, and was ready to march also in POLAND to destroy the SOLIDARNOSC. You can't make a movie without showing the tiniest bit of evil, or would you make a parody about a KZ,Guantanamo or 9/11??? Showing Osama bin Laden as a funny screwed guy? 90 minutes about a funny Osama in a Afghan Taliban camp, where he makes jokes and is training his soldiers would be comparable to what this movie is doing about the NVA!",neg
"One of the worst movies I've ever seen!!! Absolutely awful. Poor acting, poor story, there isn't one redeeming quality about this movie to recommend. Amistad is much better. Avoid this movie like the plague!",neg
"I saw this on television more years ago than I can remember, but never forgot the performance of Sammy Davis, Jr. I just by chance thought to look for it on video. This rendition of Porgy and Bess is a treasure. I would love to see it again and introduce my son to it as well. I just can't imagine why it is not heralded as one of the greatest performances Sammy Davis, Jr. every gave. Whoever is responsible for not bringing this to audiences should be ashamed of his/her ignorance. I will continue to look for it though. Maybe the execs responsible for such things will come to realize the forgotten work of so many African American actors.",pos
"First off, I just watched a movie on SHOWTIME called Survival Island. It says it was a 2006 movie with Billy Zane and since I like him and couldn't sleep I thought I would check it out. Looked interesting. Watched it, and decided to look up on the IMDb who was this new face Juan Pablo Di Pace and OMG I could not believe it, this movie has been renamed THREE and will be a new movie?? It is playing again in 1 hr and 30 mins on Showtime Channel again and this date is May 28 and EDT or Florida time. You can check your showtime listings by title and see it. I wont get into details so you can see the movie but at one point there is a lady in a white bikini that goes into the water taking it all off, you see her naked body.... when she runs back out of the water you see her bottoms on. Funny, there are a lot of other mess ups too. I can't believe by coincidence I decided to look up this movie... Go figure! Wonder if the people renaming it sold it to some movie studio to put out but it is already playing on Showtime, ha ha. Good laugh. I give it 1-1/2 stars. C-, D+ movie.",neg
"This movie is a real shame, not just for the plot,the empty performance of the characters, it is for the lack of creativity from the director and all the crew, this is maybe one of the worst movies of all times,and it is hard to believe that is the sequel of one of the most famous movies of the 90's.I am a great fan of The Mask, when I went to see this movie I was expecting to a movie with a good sense of humor, a movie with a acceptable plot, instead I saw a really bad copy of Chuck Jones and Tex Avery cartoons, the movie was not funny even for my 7 years old sister, so I wonder:What was wrong New Line Cinema???.Was it trying to repeat the success of the first movie, or was it trying to create another masterpiece like The Lord of the Rings???.Because if they did, they were completely out of their minds.",neg
"I admit I have been a fan of Harrison Ford for many, many years now so it didn't surprise me that I enjoyed his performance here. But I also enjoyed the way the storyline developed and thought the casting was well done. I don't know whether I ""buy into"" Kristin Scott Thomas as a Congresswoman but she is a fine actress and a beautiful woman. I took notice of her in the first Mission Impossible. Although her part was small she stuck out on the screen.Here her and Ford play people whose spouses are killed in an airplane crash. They are seated together and this is where the plot takes off. Apparently Ford, a police detective in Wash D.C., discovers that his wife was having an affair. He further discovers that the affair was with the husband of a New England Congresswoman.The story takes on many subplots as Ford and Thomas find themselves drawn together by revelations of their marriages, the uncovering of deceipt, and the pure grief and anger over the loss of a loved one.I think the movie is worthwhile either renting or catching on cable.",pos
"A question immediately arises in this extremely idiosyncratic film: Who are the crazy people?The answer become less clear as the film goes on.Renee Zellweger loses the whiney note in her voice and, while her voice is still high, she is incredibly effective as the shell-shocked Betty. In fact, she is so effective I almost wanted her to be just a little more crazy because her created reality was so believable.This is the first time Ms Zellweger has been called upon to carry a film and she is more than equal to the task.Chris Rock  though as foul-mouthed as usual  is fairly subdued as Wesley. He is able to sublimate his manic energy and it only occasionally surfaces and always when it is needed most.There are some interesting allusions: the first time you see Betty she is dressed almost exactly like Dorothy Gale from the `Wizard of Oz'  then later in the film she is compared to Dorothy when she says she has never been out of Kansas before. At one point the song that Doris Day was best known for, Que Sera Sera' is on the soundtrack and then later Charlie (Morgan Freeman) describes her as having a whole Doris Day thing going on.'This is an extremely quirky film with good performances by everyone including the supporting cast.It has a surprising ending that, as contrary as it sounds, is actually fairly predictable.If for no other reason see this film just to listen to the master of the human voice: Morgan Freeman.",pos
"I think this movie was made as good as it could have been. With only 4 months and a 52000$ budget - I'm surprised this wasn't worse. If you are not to care about the CG or special effects, this movie is great.Okay, the movie is not that well made (I'm sure it could have been but, you try to do better in only 4 months) but the story is good and the movie is rather exciting.DOn't trust me when I say that this movie is good, cause I also find the 1933 King Kong to be good.I must confess that I didn't watch the complete movie either... I might have fast forwarded some minutes here and there...",pos
"This movie is one of the best and moving I have ever seen, because of the terrible good performance of the main actress Jennifer Rubin as Jamie Harris, who really makes you feel with her. Also the music by Mark Snow is wonderful.",pos
"I fail to see how anyone who has actually read the M. Didius Falco mysteries could make such a mockery of them. An Aussie has no business in Ancient Rome. Nothing of the books is in this film except the setting and characters, and they are wasted on a plot thin enough through which to read the silly script. Kevin Connor and Lee Zlotoff have a lot of nerve displaying their names in the credits.",neg
"A professional production with quality actors that simply never touched the heart or the funny bone no matter how hard it tried. The quality cast, stark setting and excellent cinemetography made you hope for Fargo or High Plains Drifter but sorry, the soup had no seasoning...or meat for that matter. A 3 (of 10) for effort.",neg
"With No Dead Heroes you get stupid lines like that as this woefully abysmal action flick needs to be seen to be believed. William Sanders is saved by his buddy Harry Cotter during an extraction in Vietnam but gets himself captured by the enemy. Fast forward ten years and Harry is now a brainwashed Russian operative with a mind control microchip implanted in his brain. His new Russian superior is Ivan played to the obscene hilt by Nick Nicholson who might I add not only doesn't attempt once to speak with a Russian accent but resembles more a gas station attendant in Kentucky with his stained teeth. What is even more absurd is the fact that he was also the dialog coach for this film. Soon William is re-recruited by the CIA to hunt Harry down. He teams up with Barbara, a freedom fighter who has infiltrated Ivan's El Salvador camp and soon the both of them are blowing up half of South America. Some scenes are so jaw droppingly awful that it's a wonder why this film doesn't have more of a cult following. One such scene is the sudden lovemaking in the jungle by William and Barbara accompanied by the most inappropriate catterwalling background music I've ever heard. Who would strip completely nude in the middle of a South American jungle? There is a rape scene that uses the end theme from Blood on Satan's Claw as well. No Dead Heroes is the magic bullet movie champion of all time as one shot leads to multiple kills. In one scene Harry strafes his rifle from behind a rock and kills seven guys. I had to rewind it and count. Hard to find film that has recently gotten the full HD treatment by MGM. Track this movie down and watch it for the sheer silliness that ensues.",neg
"I first saw this film when released in 1980. From other sources, I've learnt that the only release of the 219-minute cut was in New York City, after which it was severely cut to 149 minutes. So, I guess I saw the shorter version first which, at the time, I thought, was a very interesting anti-Western, if a trifle confusing...So, it was with even more interest that I finally obtained a DVD of the full-length version. I'm glad I did because this second viewing has confirmed for me that the movie is a true classic, and the critical vitriol poured on Michael Cimino was unwarranted, to say the very least.Yes, it's a long movie, but so have been many others. For example: Once upon a time in America (1984) at 227 minutes; Cleopatra (1963) at 320 minutes; The Ten Commandments (1956) at 220 minutes; Spartacus {restored version} (1960) at 198 minutes; Gone with the Wind (1939) at 222 minutes and others. So, it can't be the fact of running time that made so many froth at the mouth way back, when Heaven's Gate came on the scene.But note this: all of those above movies have everything to do with reinforcing myths about history and heroes.Not so Heaven's Gate: in this narrative, the American West is shown in all its grim and unrelenting harshness, injustice, and poverty. And that's probably the first reason why so many disliked this film: it laid out the circumstances of the Johnson County War of 1892 in Wyoming, showing how the Wyoming Stock Growers Association hired 50 assassins to hunt down and murder a large group of European immigrants accused of cattle rustling; and all with the assistance and conniving of authorities, right up to the President of the United States. For an essay on that war, with the background and what happened, there is a link at Wikipedia under Johnson County War.Very few like to be reminded of the really dirty periods in their country's history, and which fly in the face of what the country is supposed to be. Had it been a documentary, it would have been barely palatable for most; as entertainment, it was almost bound to fail commercially and be torn to shreds by the shrill and infamous.Leaving aside the socio-political diatribe, for a moment, that Cimino launched herein, what about the narrative  the story of the three main characters? Well, it probably wasn't unusual for men of that time to fall for a local prostitute, just as it's probably not unusual now. It's a fairly standard love triangle whereby Ella must choose between the two men, and ultimately decides upon the younger man, Nathan, who, although not above resorting to cold-blooded murder when it suits him, shows more spirit and commitment than the older James (or Jim, as most people in the film say). For some, that part of the story threads too slowly, perhaps; in the context of the wider narrative about the war, however, it is, I think, entirely appropriate.And that war is depicted graphically, viciously and cruelly with scenes of carnage that are exquisitely staged and edited flawlessly  although in the final massacre between the Association and the immigrants, I'm certain that some scenes of wagons blowing apart are repeated. A minor point and perhaps brought about when the 219-minute cut was restored? Any way you look at it, though, it hits you in the face with the noise, dust, chaos and confusion of war...Which brings me to another criticism by others: the noise and dust is such that it's often difficult to hear the dialog and even see clearly what is happening. I'll admit that I found that to be a trifle annoying at first, even backtracking to replay parts to try to catch the image or the words  until I realized that really wasn't necessary if you accept the director's intent: life is chaotic, it is difficult to hear and see in crowded situations and, in war, it's the sine qua non of this mise-en-scene. In short, it's as though you truly are present in and within the scenes...And what of the title? From Shakespeare, it refers to a figurative nearness to God and so, if you equate God with the natural world, the stunning scenery that pervades the movie  and it is stunning, hauntingly equal to that of David Lean's Doctor Zhivago (1965)  is a useful metaphor. I tend to think, however, that Cimino had something more to say, namely the idea that the brave immigrants  the God-fearing salt of the earth  were denied entry to heaven on earth and the freedom to build a life for themselves in the land that espouses to be freedom's champion.Was that Cimino's intent  to gut the myth of the American West? To show how, in America, only the rich get rich while the poor are massacred, one way or another, throughout history? Is that anything new? Not really, as we all know. Where it really hurt, however, is in showing how America was not and, by implication, is not the land of the free and the home of the brave. Instead, after absorbing this narrative, we are left with an impression that the underpinnings of America have more to do with a land of dispossessed slaves and a home for knaves...",pos
"Born in 1946 I was about eight years old when first viewing this movie and it left a deep impression.Not only scary ,for lack of a better word this movie haunted me for more than 50 years.The mob goon played by John Larch was terrifying.The only scene that stuck out in my mind during those 50 years was the killing of the little girl and the uncaring policeman referring to her as a ""little n----- kid"".Those words were replaced when the movie was shown recently on TV,maybe there are two versions of the movie or someone felt compelled to alter a little bit this heart breaking scene.Accurate or not the film went a long way in formulating my opinion of the South and still till today the closest I've come to visiting a southern city is El Paso.That stand may seem extreme but there is a little bit more to the story.When the movie was shown recently it became clearer why it haunted me for years.With the newsreel like beginning this movie gives the impression that what is being shown is fact.The film is made supposedly only one or two years after the depicted incidents adding to its realistic credibility.The terror in the movie isn't provided by creatures or space aliens but by persons living in our society at the time.Re killing of little girl:The recent viewing helped make clearer the impact it had on my 8 year old mind.When this movie came out the only school I had ever gone to was attended by mostly African-Americans.The victim looked like a girl in my class,it was like seeing an actual killing.It made a horrible scene that much worse.Maybe no one will find this review helpful but it helped me.",pos
"I caught this for the first time a few nights ago on television. I expected to only tune in for a few minutes, but found myself intrigued by the movie. I ended up watching it all and found it surprisingly compelling. The acting by the three American leads was quite good, especially that of Alex Cord. He plays a gunslinger with quite a degree of vulnerability. Very different from how most of them are portrayed in westerns. He ended up in several situations where he was at the mercy of the bounty hunters. The final shootout between the three leads and the bad guys was very good, as was the scene where the doctor digs a bullet out of Clay McCord. Somewhat gruesome, but realistic. I must admit that, despite my initial misgivings at watching a ""spaghetti western"", I ended up enjoying this film quite a bit. I would recommend it to anyone who likes westerns.",pos
"It would be quite easy to make this movie sound fun: a call girl gets shot in the forehead by a North Korean spy, but survives. The bullet that is embedded in her brain makes her long for knowledge, as well as sex. Unbeknownst to her, she walks away from the shooting with the cloned finger of George W. Bush in her purse, a key which can unlock the power to use nuclear armaments. Just call it a romp, and at least a few people will show up to the theater. I'm not sure how many did go to see this four year old film when it opened in New York this past April, but I sincerely hope not many. It sounds like a light and playful pinku flick, but it has art-house pretensions and is really just incredibly boring. Many pinku films in the past have been successful in their artistic aspirations, but this film's aspirations just make the time that elapses between the sex scenes excruciating. And then the sex scenes aren't even good! I've seen some pretty outrageous stuff in dirty Japanese movies. I've never seen this country produce something with sex this dull. The Spice Channel is more imaginative. The only worthwhile thing in this movie is the body of the lead actress, Emi Kuroda. Otherwise, this is pure torture.",neg
"Excellent cast, story line, performances. Totally believable. I realize the close knit group that exemplifies the Marine Corps. But this movie brought fear to my heart. The marines let principles be damned. It seems that this film was based on real life incidents. It shows how difficult it is to go up against the establishment. Anne Heche was utterly convincing. Sam Shepard's portrayal of a gung ho Marine was sobering. And Eric Stoltz as her attorney was so deft balancing his loyalty to the Corp but also his loyalty to his client, while high above on his tightrope. He knew what his true course of action had to be. But he was pulled apart by his immersion in the Marine tradition, loyalty to the Corps above all else. I sat riveted to the TV screen. All in all I give this one a resounding 9 out of 10.",pos
"This is a wonderful movie, and I still love it! It just so magical and it is fun for the whole family! I recommend it to people of all ages. I promise you will not be disappointed! The characters are always so engaging, so real, you will just love them! The story of Gerda and Kai falling in love will really amaze you and put that little spark of magic into your life.I don't see how anyone would care if the movie matched the book, I mean the movie was amazing! I haven't even read the book, and guess what? I don't care. In fact, if the movie and book are so different, then you can just call them two separate stories and be happy with it.I thought the acting was bloody brilliant! Bridget Fonda plays the Snow Queen, so evil, and so cold - you just have to hate her. Chelsea Hobbs plays Gerda, a love-struck girl who is determined to find her love no matter what it takes, and goes on a wonderful adventure. And I just love all of the Snow Queen's sisters (the Spring Witch, the Summer Princess, and Autumn Robber)they are so fun and different in many ways.I haven't seen this movie in awhile, so forgive me if I make a minor mistake.... but there's no doubt that I will always love this movie.",pos
"If you watch this movie you'll be quoting it and referring to it for a long time to come. It's been years since I saw Dolemite and I still quote it to this day. It's a true classic. It is so mind-numbingly awful that it makes a hilarious view. Every terrible line of dialogue is totally amazing. Every wobbly shot a work of art(?). And every punch and kick so woefully executed. You won't believe your eyes. It's all I can say. If I really get into how mesmerizing this movie is I won't be able to stop and I'll go way over the IMDb 1000-word limit.Please, please watch this movie. You'll be in hysterics. Either 1/10 or 10/10, depending on your sense of humor.",pos
"This is a well directed Columbo episode, with also some good character but the story just doesn't really know to interest enough and doesn't appear as well layered and constructed as was often the case with a Columbo movie. This also goes for the killer's plot to kill his uncle. It's quite simple and doesn't seem as well thought out. Perhaps this movie didn't really took itself serious enough, since the atmosphere of the movie is mostly light. At least when compared to different Columbo movies.For instance the movie features quite a large amount of comical relief, mostly coming from the Columbo character himself. It makes the movie an enjoyable one to watch but it also gives you the feeling they sort of overdid it times, also mostly since it doesn't correspond with most other Columbo movies.The characters are good and it helps that it features Martin Landau in a double role. It's always funny to see how much different he still looked as a young man, while for instance a person such as Peter Falk hardly changed any over the years, he only got grayer. The movie also features Julie Newmar among others, who is best know for playing Catwoman in the '60's ""Batman"" life action series. It's funny how she still moves like Catwoman in this movie. Intentional or is this just her way of acting?It's an enjoyable and good to watch Columbo movie but it also gives you the feeling that it all could had been a lot better with a better thought out script.7/10",pos
"Frank Tashlin's 'Censored' is a so-so Private Snafu short which aims to teach the importance of the Censor in stopping military secrets from leaking out. Snafu attempts to get word out to his girlfriend that he's to be stationed in the South Pacific but the Censor foils each attempt he makes to send the letter. These early scenes are the best, with the unseen Censor plucking the letter out of the sky with long mechanical arms, nets and even a specially employed eagle! The second half of the cartoon, in which Snafu manages to send the letter with the aid of Technical Fairy, First Class (who is actually teaching him a lesson), is less funny and climaxes with a disappointing only-a-dream finale. The main point of interest in this part of the cartoon is the appearance of Snafu's extremely scantily clad girlfriend who is even seen bare-breasted, albeit with strategically placed limbs at all times! Aimed at the military, the Snafu shorts were often characterised by a heightened bawdiness but these scenes, crowbarred in as they may be, are by far the most erotic I've come across in any of these shorts thus far. Despite all this, I prefer the Snafu shorts that go for the jugular a little more, usually resulting in the death of the main character. For great examples of this, seek out Tashlin's 'The Goldbrick' or Chuck Jones's 'Spies'. 'Censored' is fairly weak by comparison.",neg
"I had to read I Know Why The Caged Birds Sing in my English class and we watched the movie after finishing it. After watching the movie, I regret seeing. It completely took away any of the impact the book had. The scenes made no sense in their sequences, the acting was horrible, and it seemed as though the screen writer never actually picked up the book but opted for the cliff notes instead. I was outraged at how the movie ended. Almost half of the book was cut out and certain aspects were extremely important to Maya's growth as a person. If you have read ...Caged Birds, this movie will ruin the experience of the book so I warn you not to see it.",neg
"Kar Wai Wong's incredibly impressive romance that is to me, perfect. Set in 1960's Hong Kong. As we are shown, this is set in a turbulent time. Tony Leung and Maggie Cheung play Chow Mo-wan and Su Li-zhen Chan. A man and a woman who meet each other in a Hong Kong apartment, in which they both move in. Chow Mo-wan works for a newspaper company. Su Li-zhen Chan is a secretary. Two very different people. Chow Mo-wan and Su Li-zhen Chan create a special bond after they both find out their spouses, constantly away are committing extra-marital trysts. With each other.The characters of Chow Mo-wan and Su Li-zhen Chan are nothing short of amazing. Both Leung and Cheung manage to strike such amazing chemistry with one another, it's better than any Hollywood romance that is put out today. Combined. The film is all about the focus of the two leads and their feelings after the infidelities of their partners. Kar Wai Wong manages to create such strong character development between these two characters, you really start to feel for them. Leung and Cheung are both wildly amazing, are better than any Hollywood pairing shown on the screen today. Combined.There's nothing much else to describe Fa yeung nin wa other than beautiful, energetic romance that also features a moody, atmospheric piece with gorgeous cinematography. So much elements of this movie help create it to be flawless. As well as Kar Wai Wong and the acting, the cinematography from both Christopher Doyle and Pin Bing Lee is haunting. Beautifully understated. The shots from Kar Wai Wong help makes your mind create a world of it's own. A world that creates these characters. Original, melancholic and nostalgic. This film is incredibly unforgettable.The costumes created by Kar Wai Wong regular William Chang are absolutely beautiful. Cheung, who wears an elegant, ankle-deep, beautifully patterned dress in every scene. She's a scene-stealer. Her costumes say a lot about her character and an emotion is fitted in all of her dresses colours which are vividly and smartly used. Highly original. Chang, also the production designer creates a brilliant setting for the movies moody piece. Especially with the help of the marvellous music used in scenes and masterful film editing, again by Chang. William Chang seems to be incredibly versatile and is an unsung hero for this movie.Overall, this movie is one of the best from this millennium. Incredibly compelling and filled with nostalgia. The shots are mesmerising and haunting. Kar Wai Wong somewhat proves to be a master at the top of his game. The acting; music; cinematography; editing; production; costume and direction all help create ONE small, little perfect film. A masterpiece in romance film-making. Visually spectacular. Overall, a masterpiece to film-making. A film that reminds me of old classic Hollywood, was the one that never was. Never forget Fa yeung nin wa. I know I won't.",pos
"Well, I read the other comments. Didn't think it sounded any good, but decided to tape it anyway. Perhaps not so smart to read all the poor reviews before watching this movie, because of course I would be noticing all the same weird things. Excessive use of fade to black, a few weird camera angles and crosscutting dialog for different conversations with the same people taking place at different times! But noticing all that I thought to myself: Well, this would probably be really boring if it was all going chronologically. The conversations aren't that exciting, but kind of mandatory. And the constant fading to black after really short scenes really makes it feel like the story is fast forwarding too the interesting part. Skipping the boring bits. At the end of the movie it gets a bit exciting too. Will they survive? So I actually liked this movie? No, not really. The director had some interesting ideas on how to keep the audience from being bored while he is trying to introduce the characters. But he is overdoing it. It gets annoying, and sometimes confusing. This was apparently only the second movie he directed, so maybe he will learn and make really good stuff in the future. And if you're sitting there (in the future) reading this wondering if the now famous directors second movie is worth a watch. Well, if he is good in the future, sure, watch this crap and wonder how he ever got to make a third one. Otherwise this movie isn't really worth watching unless you very interested in film-making, and want to see one way you can cut the mandatory boring introductory scenes into something watchable.",neg
